NOPD_Item,TypeText,InitialTypeText,Zip,PoliceDistrict,Latitude,Longitude
G0545219,FIREWORKS,FIREWORKS,70117,5,29.96167877,-90.03698603
G0535219,FIREWORKS,AGGRAVATED ASSAULT,70117,5,29.96171113,-90.03259292
G1738619,FIREWORKS,DISCHARGING FIREARM,70116,8,29.96236683,-90.05882447
L4024619,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.96246347,-90.08872937
L4035119,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.96246347,-90.08872937
G0535719,FIREWORKS,FIREWORKS,70117,5,29.96252932,-90.03207327
J3286319,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96266173,-90.053867
G1598919,FIREWORKS,DISCHARGING FIREARM,70116,8,29.96290649,-90.0626184
G0531619,FIREWORKS,FIREWORKS,70118,2,29.96302014,-90.11787084
A3316019,FIREWORKS,DISCHARGING FIREARM,70116,8,29.96308169,-90.06455203
A0224919,FIREWORKS,EXPLOSION,70117,5,29.96339914,-90.00711455
A0134919,FIREWORKS,FIREWORKS,70119,1,29.96341439,-90.09431727
A4140019,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96389269,-90.04724439
I1565919,FIREWORKS,FIREWORKS,70116,1,29.96413298,-90.07304389
H1543019,FIREWORKS,DISTURBANCE (OTHER),70117,5,29.96494911,-90.03767364
G0557319,FIREWORKS,FIREWORKS,70117,5,29.96496501,-90.04238482
G0559019,FIREWORKS,DISTURBANCE (OTHER),70117,5,29.96496501,-90.04238482
G0587719,FIREWORKS,FIREWORKS,70125,6,29.96500286,-90.10758167
K0557219,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.96506464,-90.09038482
F2772519,FIREWORKS,DISCHARGING FIREARM,70116,1,29.96552556,-90.06806934
L3313319,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96556049,-90.03439555
L4045519,FIREWORKS,FIREWORKS,70117,5,29.96559204,-90.03541993
G0990919,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96577389,-90.03536458
G0539219,FIREWORKS,FIREWORKS,70119,1,29.96583175,-90.09962365
G0691619,FIREWORKS,FIREWORKS,70117,5,29.96603424,-90.04674428
B0241219,FIREWORKS,DISCHARGING FIREARM,70119,1,29.96612813,-90.09061558
I1566119,FIREWORKS,DISCHARGING FIREARM,70116,1,29.96632092,-90.07107364
L3241119,FIREWORKS,AGGRAVATED ASSAULT,70119,1,29.96647297,-90.08889624
A0091119,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.9666543,-90.09821012
L2888819,FIREWORKS,SUSPICIOUS PERSON,70116,8,29.96666749,-90.06124849
