county,pop,whitepct,blackpct,pubtransit,livealone,collegepct,medinc,hu,medhomevalue,tourismemp,vacant,rental,pubother,subway,over70pct,over18,army,male,commute30,commute60,healthworker,fbornpct,povpct,gini,govpct,noinsurance,outsidecounty,nonprofitpct,STATE,LandSQMI,popdens,hudens,county2
42025,63931,0.961802568,0.019849525,0.00524834,0.082287579,0.167863822,53624,34715,141600,0.076509061,0.258562581,0.225183574,0.004240381,0.001007959,0.136835025,51415,0.000736433,0.49714536,0.514697867,0.144253479,0.12729936,0.008618667,0.125161208,0.4019,0.013421447,0.051612903,0.732143927,0.09514239,Pennsylvania,381.459,167.5959933,91.0058486,42025
42027,161443,0.875120011,0.039617698,0.05375,0.135300822,0.447395919,58055,66312,220500,0.113407435,0.126734226,0.381657111,0.053164894,0.000585106,0.09065119,136949,0.000335844,0.526328178,0.215330146,0.033481552,0.084622301,0.063093476,0.183676462,0.4696,0.012705073,0.053069486,0.167912595,0.166456001,Pennsylvania,1109.923,145.4542342,59.74468499,42027
42029,517156,0.85337113,0.059374734,0.026713934,0.061590151,0.518112406,96726,199050,347000,0.074979456,0.0475157,0.24760011,0.025018648,0.001695286,0.102504853,397609,0.000485741,0.492590244,0.425088172,0.103253211,0.078784693,0.054969874,0.067865423,0.4572,0.003942196,0.05763353,0.416174402,0.09781458,Pennsylvania,750.505,689.0773546,265.2214176,42029
42031,38827,0.965487934,0.010971746,0.000347786,0.075455005,0.226591263,45625,20447,114300,0.095713314,0.226096738,0.31028817,0.000115929,0.000231857,0.126896232,31518,0.000215909,0.488371494,0.283380725,0.064069212,0.134554321,0.006541839,0.162207491,0.433,0.011907462,0.076094591,0.516164492,0.092878204,Pennsylvania,600.837,64.62151965,34.03086028,42031
42033,80216,0.949698315,0.028036801,0.002342905,0.046508661,0.143136825,47270,39136,94000,0.066835772,0.198972813,0.224568567,0.002342905,0,0.135708587,65399,0.00019338,0.522402015,0.333261292,0.080860786,0.116977348,0.024832951,0.148612306,0.4284,0.010028315,0.055989618,0.483136857,0.096006371,Pennsylvania,1144.723,70.07459447,34.18818352,42033
42035,39074,0.962148743,0.016302401,0.000513581,0.081795985,0.189769173,49234,19215,130900,0.09066995,0.2326828,0.305615844,0.000513581,0,0.121538619,31106,0.000281637,0.493371551,0.301169245,0.056336365,0.094811664,0.006449301,0.17426439,0.4125,0.012928863,0.075862248,0.528187437,0.085576762,Pennsylvania,887.984,44.0030451,21.6389034,42035
42037,66220,0.948927816,0.018438538,0.001711352,0.087277105,0.225046737,49889,30081,149100,0.085457321,0.116319271,0.305469867,0.001711352,0,0.126457264,54459,0.000268634,0.481878587,0.279559748,0.049965059,0.106332139,0.009785563,0.14332481,0.4498,0.009292447,0.046107794,0.516481116,0.125348467,Pennsylvania,483.108,137.0707999,62.26558037,42037
42039,86164,0.955712362,0.018116615,0.00450546,0.063064092,0.207989717,49144,44861,110900,0.070996076,0.219544816,0.270021707,0.004319941,0.000185519,0.129415997,67957,0.000242486,0.489694072,0.273699117,0.062670073,0.109040825,0.005535955,0.140547037,0.4328,0.008757569,0.090668744,0.361725809,0.119305631,Pennsylvania,1012.299,85.11714424,44.31595803,42039
42041,247433,0.882420696,0.037998165,0.006920694,0.064858359,0.358139131,68895,105204,197900,0.069539263,0.060140299,0.296176057,0.006444796,0.000475899,0.12064276,197258,0.002627234,0.494360089,0.25331137,0.047322183,0.087074906,0.031362025,0.074099258,0.4227,0.007009494,0.055737555,0.443311245,0.108246277,Pennsylvania,545.463,453.6201356,192.8710105,42041
42043,274515,0.710336411,0.191942153,0.024024933,0.064682497,0.304927094,58916,123740,165200,0.082885945,0.097430095,0.367832456,0.023862453,0.00016248,0.102500774,212762,0.001022978,0.48399541,0.252007369,0.046723306,0.11242815,0.037003442,0.126589409,0.4489,0.00760803,0.057179527,0.332835167,0.132903452,Pennsylvania,525.041,522.8448826,235.6768329,42043
